+/yYn89HLV	AWS config directory
+0Oum8s8/p	Keep chatting
+57GhlYuNS	Allow using Claude Design to generate design artifacts.
+5pVgQAZZr	What this URL is overriding
+6PpsCazwm	The endpoint rejected the request. Check cert trust, IP allowlist, or auth headers.
+8+Afje+QL	Define a collection of users
+8nVZyI6SB	<b>{category}</b> needs {count, plural, one {{label}} other {# fields}}
+9qv0W3kKW	Select {email}
+AQagzW8cG	Secure VM features
+Bd6t2XtyN	Active Claude Code users in this period
+Bvqi7XleM	Unsafe URL blocked (only http/https are allowed).
+EiT5beQUU	No usage data yet — plan usage appears once limits load, and session usage after Claude's first reply
+IJtuFJicj	Public Projects
+J17tTSxMS	Create API key
+UTJD9uDf0	Log out of current session
+UxVPjmWv+	You've reached your spend limit for this month. Manage spend limit to keep going now, or wait until {time} when your plan usage resets.
+ZLTl3VMv+	Stop this task
+aUKGm2IHp	the Bedrock control-plane
+gBb3x0fj/	X-Header-Name
+i6kfVZs4O	Select a role
+iG8JNhLmB	Folder with AWS config/credentials. Defaults to ~/.aws when no bearer token is set.
+jl8kGm4v6	Visualize anything
+lMnhmI8z5	Optionally attach SOC 2 / ISO certificates for enterprise review.
+oLBeHixUl	Claude Security requires usage credits to be turned on. Contact an organization admin to turn them on.
+rF7YHHN6s	Learn how to level up
+tXAEC63X9	Don't ask again for this tool
+uM2tA+VbV	Failed to create API key.
+w1YB5AI4t	More actions for token {name}
+xavC+M73T	Turn off usage credits?
+zZ6KeQPTP	Show banner
/29gJi+64E	Give your developers access to Claude Code
/3CSjeiTpY	Install Claude Code in your terminal or IDE
/6750qvS54	Have a visual UI MCP App now? Email your carousel images to <link>{email}</link> and we'll attach them to your listing manually.
/7tAIdVl9o	This runner's token is invalidated immediately. Its next API call will be rejected.
/ACWgnVcXZ	We're doing some quick maintenance on billing. Your current plan still works as usual — check back shortly to upgrade.
/EjJtHJxer	Usage credits keep you going when you hit your plan limits. If you're past a limit now, your current chat will get cut off.
/Gv4CeZ7SR	Copy organization ID
/HHfFvWS71	session
/HUoUvA4uE	This connector doesn't use authentication. You can block individual tools instead.
/HcvzyHD/i	Your admin can't lift the hold directly. If your organization has an Anthropic account team, your admin can ask them to flag your case for review — that's often the fastest path.
/NB+TAjGNv	You're now past your plan's included usage. Your weekly limit resets {day} at {time}.
/ORJw3F96g	Change team logo
/OvJVmHb97	Show fewer
/OyPYShmOc	You've reached your spend limit for this month. Your plan usage resets at {time}.
/PjeqYiSOL	{low} – {high} / mo
/Q6CUQbieS	Remove queued message
/SUwcDKRj4	This capability is enabled but its required capability Chat is not.
/aRxUjWdXd	Your local time, next day
/adJPj1rXf	Connector data hidden in shared chats
/anA6Br7/K	Copy relative path
/c0GeY5Wgm	Commits
/dk65J5QxC	~/Documents/work
