+3syH4VjJv	Career changer
+AYBXJNqIn	Counts reflect when findings were first detected by a scan — not necessarily when the vulnerability was introduced. An increase may include pre-existing issues found for the first time.
+EqGNX0pPR	Supply chain manager
+IDV5qdzWq	Gardener
+IIW8aX0N1	Receptionist
+Tg2ZwY6Gc	Influencer
+jn5I+1PC9	Restricted by your organization's Managed settings. Update Managed settings or your MDM-deployed configuration to change this.
+pD1ItWKxt	Underwriter
+rkY4+8rT0	· in {dir}
+tRn40sBkg	Adding marketplaces is blocked by your organization's policy. Contact your administrator.
+vS3H1eZas	Customs officer
+xKo0c6T1G	Software architect
/06iwcQHPz	Large
/0MsrWMCdB	Songwriter
/YXteHLR8K	Actuary
/bBN+CgLmb	Ecologist
/yv6l69CX4	Primary school teacher
07R0N8PtwA	Program manager
08fK5mJlTX	AI engineer
0BXihaWcFe	Therapist
0LfuDKjQSo	last {period}
0W02lLUPFi	Hospitality
0YRp5WE0Wj	Intelligence analyst
0ecfVQIfO+	Solopreneur
0jKBnkxLS/	Registered nurse
0k3ba9Nu/e	Payroll specialist
0n0KQX3sqW	Psychiatrist
0uewaBqoIO	This will create a copy of the artifact in a new chat in your workspace. You can <a>view the artifact</a> first.
0xdmE4r3iQ	The {artifactId} live artifact uses connectors you haven't set up yet:
13JgRA3twc	{severity} findings over the last {period}: {first} to {last}
15ABaeyine	Author
1E+/if8Ti8	Business owner
1FxELCcuoK	Vice president
1LuSiVKux0	Manage the organization’s Claude Design settings.
1TSYwxCuHT	Curriculum developer
1arWNHyIs7	Physiotherapist
1nWL5SoYz8	Customer success manager
1tebkMXtlg	Sports coach
21ajH7Kc6+	Program and project management
21ihzcyuTB	Photographer
24lBjEianV	Get <fm>faster responses</fm> and <cr>automated code review</cr> when you buy usage credits. Credits also cover your team if they hit a plan limit.
26gd7RckDR	Feature requests ({count})
2DVLDWETtg	Controls which repositories Claude can reach across your organization.
2F1wNJk3C5	Digital marketer
2O7/1Pcuub	Fisherman
2cq5xykhcF	Complete the steps below first
2joSL9oY7h	Private equity associate
31gfvJpZCW	Contract manager
33Rbzddv0C	Chartered accountant
359WtO1wuX	Converts to Team plan
3Ap8PkWTMu	Technical recruiter
3DsmOqe9q/	Customer support
3IAAGWUdSi	Financial analyst
3MKrYxb9kl	Marketing coordinator
3OH8ucJqPe	Partnerships manager
3PTbu+mhS/	Product owner
3a9hdVuHEv	Music producer
3hYY7wx8vu	Personal assistant
3jYNk5AHO8	Risk analyst
3oI1e8hcPi	Train conductor
